,OUR_SUMMARY
10,"Ask Jeeves, once among the best-known names on the web, is now a relatively modest player. The trend has taken hold relatively quickly. Its $17m profit for the quarter was dwarfed by the $204m announced by rival Google earlier in the week. But on Thursday, it announced that a sharp turnaround had brought about an unexpected increase in profits. In both cases, their shares fell by some 4%."
11,"Indonesia pays subsidies to importers in order to stabilise domestic fuel prices, but higher oil prices have forced the government to spend more on holding prices down. It spent 59.2 trillion rupiah ($6.58bn; £3.5bn) on fuel subsidies in 2004, a sum far in excess of its original projection of 14.5 trillion rupiah. ""The (January to March) quarter of this year is the best time for us to increase fuel prices,"" said Sri Mulyani Indrawati, State Minister for National Development Planning. ""We are still considering if a 30% hike is suitable at the moment. Indonesia's previous government, led by President Megawati Sukarnoputri, also attempted to cut subsidies in 2003, but was forced to back down in the face of public protests. The sooner the better for the state budget."" ""The big question is whether they go for one big, short, sharp shock and raise prices between 20% and 30% or whether they try to stagger it,"" she said."
12,"Peugeot deal boosts Mitsubishi
Struggling Japanese car maker Mitsubishi Motors has struck a deal to supply French car maker Peugeot with 30,000 sports utility vehicles (SUV). Falling sales have left Mitsubishi Motors with underused capacity, and the production deal with Peugeot gives it a chance to utilise some of it. Mitsubishi Motors has forecast a net loss of 472bn yen in its current financial year to March 2005. Last month, it signed a production agreement with Japanese rival Nissan Motor to supply it with 36,000 small cars for sale in Japan. US-German carmaker DaimlerChrylser, a 30% shareholder in Mitsubishi Motors, decided in April 2004 not to pump in any more money. The deal with Peugeot was celebrated by Mitsubishi's newly-appointed chief executive Takashi Nishioka, who took over after three top bosses stood down last month to shoulder responsibility for the firm's troubles. It has been making cars for Nissan since 2003."
13,"Journalists at the firm met on Friday afternoon to discuss how to react to the surprise announcement. The National Union of Journalists said it stood strongly behind the journalists and did not rule out a strike. ""They have shown a complete disregard for the consultative rights of our members,"" said Mr Fitzpatrick, who added that the company now planned to observe the consultation procedures. NUJ official Barry Fitzpatrick said the company had ignored the 90-day consultation period required for companies planning more than 10 redundancies. In recent months News Corp's News International unit, which publishes The Sun and the News of the World, the Guardian Media Group, Trinity Mirror and the Daily Mail & General Trust have all announced substantial investments in new printing plants. The two Telegraph titles currently employ 521 journalists. The Guardian is hedging its bets, planning a larger tabloid format like those popular in continental Europe. Many newspapers are investing in new printing machinery that enables them to print more colour pages, or in some cases, have colour on every page. ""Journalists are the lifeblood of any newspaper, and maintaining the quality of The Daily Telegraph and The Sunday Telegraph for our readers is vital,"" he said. ""However, action to improve our production capability and secure our titles against the competition is also vital."""
14,"The EU decided to increase passenger compensation in a bid to deter airlines from deliberately overbooking flights. When this happens against a passenger's will, airlines will now have to offer compensation. Airlines fear that ""extraordinary circumstances"" may not include bad weather, security alerts or strikes - events which are outside of their control. The European Commission is facing two legal challenges - one from the European Low-fare Airlines Association (ELAA) and the other from the International Air Transport Association (IATA), which has attacked the package as a ""bad piece of legislation"". Air passengers win new EU rights
Air passengers who are unable to board their flights because of overbooking, cancellations or flight delays can now demand greater compensation. ""It's a preposterous piece of legislation, we among all airlines are fighting this,"" Ryanair deputy chief executive Michael Cawley told Radio 4's Today programme. New technology means it is easier for airlines to take off and land in bad weather, she added. On Wednesday, Jacques Barrot, vice president of the European Commission and also Commissioner for Transport, said that the changes were necessary. ""We reckon it's going to cost European air passengers - not the airlines, the airlines have no money, it has to be paid by passengers - 1.5bn euros, that's over £1bn a year loaded onto European passengers,"" Mr Clarke said. ""That's basically a transfer of money from passengers whose journeys are not disrupted to passengers whose journeys are disrupted."""
15,"The curbs were introduced earlier this year to ward off the risk that rapid expansion might lead to soaring prices. There were also fears that too much stress might be placed on the fragile banking system. Growth in China remains at a breakneck 9.1%, and corporate investment is growing at more than 25% a year. A low exchange rate - China's yuan is pegged to a rate of 8.28 to the dollar, which seems to be in relentless decline - means Chinese exports are cheap on world markets. To some extent, the credit controls do seem to be taking effect."
16,"The firm sought bankruptcy protection in December 2003 after disclosing a 4bn-euro hole in its accounts. Overall, the company's debt is close to 12bn euros, and is falling only slowly. Parmalat boasts doubled profits
Parmalat, the Italian food group at the centre of one of Europe's most painful corporate scandals, has reported a doubling in profit. On Tuesday, the company's administrator, turnaround expert Enrico Bondi, sued Morgan Stanley, its former banker, to return 136m euros relating to a 2003 bond deal. But a crucial factor for the company's future is the legal unwinding of its intensely complex financial position."
17,"India's foreign currency rating is now one notch below investment grade, which starts at 'BBB-'. The increase has put it on the same level as Romania, Egypt and El Salvador, and one level below Russia. ""The upgrade is positive and basically people will use it as an excuse to come back to India,"" said Bhanu Baweja, a strategist at UBS. ""Money has moved out from India in the first two or three weeks of January into other markets like Korea and Thailand and this upgrade should lead to a reversal."""
18,"Communications Minister Dayanidhi Maran said that there is a need to fund the fast-growing mobile market. India widens access to telecoms
India has raised the limit for foreign direct investment in telecoms companies from 49% to 74%. Potential foreign investors will however need government approval before they increase their stake beyond 49%, Mr Maran said. ""It is a positive development for carriers and the investment community, looking to take a longer-term view of the huge growth in the Indian telecoms market,"" said Gartner's principal analyst Kobita Desai. Analysts and investors have welcomed the government decision. The decision to raise the limit for foreign investors faced considerable opposition from the communist parties, which give crucial support to the coalition headed by Prime Minister Manmohan Singh."
19,"Call centre users 'lose patience'
Customers trying to get through to call centres are getting impatient and quicker to hang up, a survey suggests. This, Ms Diemont warns, is ""scary"" and not good for the bottom line either. When the query is passed on to a second or third person - a specialist or manager - rates rise to about 70%, but that is still well below the industry target of an 85% resolution rate. When automated phone message systems are taken out of the equation, where customers have to pick their way through multiple options and messages, the number of abandoned calls is even higher - a sixth of all callers give up rather than wait. ""Once a call centre may have looked after mortgages, now its agents may also be responsible for credit cards, insurance and current accounts,"" Ms Diemont says. Poor training frustrates both call centre workers and customers. However, companies that decide to ""offshore"" their operations are driven not just by cost considerations. The survey was conducted by Sunovate on behalf of Dimension Data, and is based on in-depth questionnaires of 166 call centres in 24 countries and five continents. What are your experiences with call centres? Are you happy to listen to Vivaldi or Greensleeves, or do you want an immediate response?"
20,"Advisors Goldman Sachs are understood to have valued its demerged Deluxe Film unit at £300m, the report added. Rank now aims to concentrate on its gaming, bars and hotels business, including extending its Hard Rock brand to its casinos - trials of which have been a success. A spokesman for the firm refused to comment on the reports, but said any results from the demerger study were likely to be set out when it unveiled its results on Friday. The move left the group with three core divisions: gaming, Hard Rock and Deluxe Films, which provides technical services to Hollywood studios. However, that business is seen as less successful. It also owns Deluxe Media, which makes and distributes DVDs and videos. Last year it made profits of £21.5m on a turnover of £392.1m and experts suggest its success in moving to DVDs from VHS video could make it an attractive target for a private equity buyer."
21,"But officials said stagnant growth was still stifling the job market. The brunt of the unemployment is still being felt in the eastern part of Germany, where the rate is 18.8%. High oil prices and the soaring euro - which damages the competitiveness of exporters - were also having a negative effect, he said. Sluggish economy hits German jobs
The number of people out of work in Europe's largest economy has risen for the tenth straight month as growth remains stubbornly slow. ""The deterioration of the labour market does not come as a surprise,"" said Isabelle Kronawitter at Hypovereinsbank. ""But growth of 0.1%... in the third quarter is still insufficient to deliver positive momentum to the labour market."" The scheme's formal launch is January, but hirings for these positions are already taking place and affecting the unemployment statistics, economists said."
22,"If confirmed, that would be the best quarterly showing since early 2002. It leaves GDP up 2.3% for the full year, but short of the 2.5% which the French government had predicted. ""The numbers are good,"" said David Naude, economist at Deutsche Bank. Also on Friday, France's industrial output for December was released, showing 0.7% growth. ""They send a positive signal of a rebound in output... and open the way for a continuation in that trend into the New Year."""
23,"US trade gap hits record in 2004
The gap between US exports and imports hit an all-time high of $671.7bn (£484bn) in 2004, latest figures show. Democrats claim the administration has not done enough to clamp down on unfair foreign trade practices. For all of 2004, US exports rose 12.3% to $1.15 trillion, but imports rose even faster by 16.3% to a new record of $1.76 trillion. Meanwhile, the Bush administration argues that the US deficit reflects the fact the America is growing at faster rate than the rest of the world, spurring on more demand for imported goods. Some economists say this may allow an upward revision of US economic growth in the fourth quarter. Imports were not affected by the dollar's weakness last year. ""We expect the deficit to continue to widen in 2005 even if the dollar gets back to its downward trend,"" said economist Marie-Pierre Ripert at IXIS."
24,"""I pride myself on heading for 15 years a number of successful companies and helping other enterprises rise from their knees,"" he told a Russian court. The US court's jurisdiction had been challenged by Deutsche Bank and Gazpromneft, a former unit of Russian gas monopoly Gazprom which is due to merge with Rosneft. ""Such activities require the continued participation of the Russian government."" Texas Judge Letitia Clark said Yukos did not have enough of a US presence to establish US jurisdiction. In her ruling, the judge acknowledged that ""it appears likely that agencies of the Russian government have acted in a manner that would be considered confiscatory under United States law"". ""The vast majority of the business and financial activities of Yukos continue to occur in Russia,"" Judge Clark said in her ruling. But she said her role was simply to decide on jurisdiction. Russia had indicated it would in any case not abide by the rulings of the US courts. ""Our assets were illegally seized. We want them back or damages paid."""
25,"The affected vehicles in the product recall are from the 2004 and 2005 model years, GM said. Safety alert as GM recalls cars
The world's biggest carmaker General Motors (GM) is recalling nearly 200,000 vehicles in the US on safety grounds, according to federal regulators. This is because the accelerator pedal may not work properly in extremely cold temperatures, requiring more braking. GM is also recalling 19,924 Cadillac XLR coupes, SRX SUVs and Pontiac Grand Prix sedans from the 2004 model year. This could allow hydraulic fluid to leak, which could make it harder to brake or steer and could cause a crash, it warned. However, GM stressed that it did not know of any injuries related to the problems. In January, GM said higher healthcare costs in North America, and lower profits at its financial services subsidiary would hurt its performance in 2005."
26,"Steel firm 'to cut' 45,000 jobs
Mittal Steel, one of the world's largest steel producers, could cut up to 45,000 jobs over the next five years, its chief executive has said. The Indian-born magnate did not say where the job losses would fall. Mr Mittal told US investors that once the acquisition of International Steel Group was completed, the company would aim to reduce its workforce by between 7,000 and 8,000 annually. Mittal Steel was formed last year when Mr Mittal's LNM Holdings merged with Dutch firm Ispat. ""We are trying to create a sustainable steel industry and if we want to do that, we have to invest in new technology,"" a spokesman said. This could see its workforce trimmed from 155,000 to 110,000 staff by 2010. Mittal Steel has operations in 14 countries."
27,"Strong demand triggers oil rally
Crude oil prices surged back above the $47 a barrel mark on Thursday after an energy market watchdog raised its forecasts for global demand. The US Department of Energy reported that crude stockpiles had fallen 1m barrels to 294.3m. The Paris-based IEA watchdog, which advises industrialized nations on energy policy, said the upward revision was due to stronger demand from China and other Asian countries. ""I think that prices are now beginning to set a new range and it looks like the $40 to $50 level,"" said energy analyst Orin Middleton of Barclays Capital."
28,"The Vestey Group said it had not been informed of any planned seizure. According to Reuters, they plan to seize 12,900 acres (5,200 hectares) from the 32,000 acre (13,000 hectare) farm. They also allege that areas of the ranch are not being used for any form of active production. Critics say the powers - which President Chavez argues are needed to help the country's poorest citizens and develop the Venezuelan economy - trample all over private property rights. UK firm faces Venezuelan land row
Venezuelan authorities have said they will seize land owned by a British company as part of President Chavez's agrarian reform programme. ""The legal boundaries did not match up with the actual boundaries and there is surplus,"" state prosecutor Alexis Ortiz told Reuters. ""As a consequence the government has taken action."" Officials in Cojedes state said on Friday that farmland owned by a subsidiary of the Vestey Group would be taken and used to settle poor farmers. But a spokesman added: ""Agroflora is absolutely confident that what it has submitted will demonstrate the legality of its title to the land."" The authorities said landowners whose titles were in order and whose farms were productive had ""nothing to fear""."
29,"The OECD highlighted current depressed household expenditure in Germany and the eurozone's over-reliance on export-led growth. Overall, the report forecast total growth of 3.6% in 2004 for the 30 member countries of the OECD, slipping to 2.9% next year before recovering to 3.1% in 2006. US growth would reach 4.4% in 2004, but fall to 3.3% next year from a previous estimate of 3.7%, the OECD said. If the oil price does not rise any further, then we think the shock can be absorbed within the next few quarters,"" Vincent Koen, a senior economist with the OECD, told the BBC's World Business Report. ""The oil shock is not enormous by historical standards - we have seen worse in the seventies. ""The recovery that was underway, and has been interrupted a bit by the oil shock this year, would then regain momentum in the course of 2005."" ""Supported by strong balance sheets and high profits, the recovery of business investment should continue in North America and start in earnest in Europe,"" it added. However, the report warned: ""It remains to be seen whether continental Europe will play a strong supportive role through a marked upswing of final domestic demand."""
30,"Irish markets reach all-time high
Irish shares have risen to a record high, with investors persuaded to buy into the market by low inflation and strong growth forecasts. Analysts said that economic conditions were benign and Irish shares were still trading at a discount to other European markets. Telecoms firm Eircom, which recently revealed that it would re-enter the Irish mobile phone market, hit a yearly high. ""Ireland ticks all the boxes as far as international investors are concerned,"" Roy Asher, chief investment officer of Hibernian Investment Managers, told Reuters. Ireland's economic 'miracle' is enjoying a second wind, with 5% growth forecast for 2005 and 2006. Bernard McAlinden, head of equity research at NCB Stockbrokers, said equities represented good value compared to other investments. ""Buoyant economic conditions are set to continue in Ireland over the next few years and Irish equities continue to offer quality growth at a reasonable valuation."" ""It is still looking good,"" he told Reuters."
31,"Sumitomo bosses told counterparts at UFJ of its decision on Friday, clearing the way for it to conclude a 3 trillion yen ($29bn) deal with Mitsubishi. Japanese banking battle at an end
Japan's Sumitomo Mitsui Financial has withdrawn its takeover offer for rival bank UFJ Holdings, enabling the latter to merge with Mitsubishi Tokyo. Concerns were also raised about Sumitomo's ability to absorb UFJ and the former has now admitted defeat. ""We believe the market and most investors accept a UFJ-MTFG merger,"" Sumitomo said in a statement. ""Given the ongoing integration of UFJ and MTFG operations, persisting with our proposal may not be in the best interests of our shareholders or UFJ's."" However, this is expected to be a formality. Sumitomo may now turn its attention to deepening its ties with Daiwa Securities, another Japanese financial firm."
32,"But it also found 12.1 trillion pesos was going to the richest part of the population, rather than to those in need. Sound distribution of the cash could cut poverty levels to 36% from 53%, the government believes. ""Resources are more than enough to reduce poverty and there is no need for more tax reforms but a better distribution,"" deputy planning director Jose Leibovich said. Government expenditure in areas such as pensions, public services, education, property and health should be revised, Mr Leibovich said. He added that the government is now examining the report, but warned there would be no easy solution to the problem."
33,"Rover confirmed the tie-up would take place ""not very far away from this time"". Shanghai Automotive Industry Corp plans to shift production of the Rover 25 to China and export it to the UK, sources close to the negotiations tell the FT. Transport & General Worker's Union general secretary Tony Woodley repeated his view on Friday that all mergers led to some job cuts. He said investment in new models was needed to ensure the future of the Birmingham plant. ""This is a very crucial and delicate time and our efforts are targeted to securing new models for the company which will mean jobs for our people,"" he said. ""SAIC is extremely concerned to ensure that its money is used to invest in the business rather than be distributed to the shareholders,"" the newspaper quotes a source close to the Chinese firm. Rover and SAIC signed a technology-sharing agreement in August."
34,"During the year WPP bought US rival Grey Global, creating a giant big enough to rival sector leader Omnicom. Revenues were £4.3bn while the firm's operating margins were 14.1%, which it said could reach 14.8% by 2006. Ad firm WPP's profits surge 15%
UK advertising giant WPP has posted larger-than-expected annual profits and predicted that it will outperform the market in 2005. It also includes the firms Young & Rubicam and J Walter Thompson. The long-term outlook looks ""very favourable"" because of media and technology developments and the strength of the US economy, WPP said."
35,"US gives foreign firms extra time
Foreign firms have been given an extra year to meet tough new corporate governance regulations imposed by the US stock market watchdog. Many foreign firms had protested that the SEC was imposing an unfair burden. Over the past few months, delegations of European and other business leaders have been heading to the SEC's Washington DC headquarters to protest. They say the burden is too expensive and the timescale too short and some, particularly the UK's CBI, warned that companies would choose to let their US listings drop rather than get in line with section 404. ""They have been listening to us and to many overseas companies, who have reminded America what globalisation really means: that they can't make these rules in isolation."" ""I think this signifies a change of heart at the SEC,"" CBI director-general Sir Digby Jones told the BBC's Today programme. The European Union, in particular, was imposing new international financial reporting standards in 2005, it noted."
36,"There was a time when Mr Tsutsumi seemed untouchable. Inheriting a large property business from his father in the 1960s, he became one of Japan's most powerful industrialists, with close connections to many of the country's leading politicians. Japanese mogul arrested for fraud
One of Japan's best-known businessmen was arrested on Thursday on charges of falsifying shareholder information and selling shares based on the false data. Now Mr Tsutsumi faces criminal charges and the possibility of a prison sentence because he made it look as if the 10 biggest shareholders owned less than this amount. Under Japanese stock market rules, no listed company can be more than 80% owned by its 10 largest shareholders. His determination to stay at the top at all costs may have had its roots in his childhood. ""I felt enormous pressure when I dined with him and it was nothing but pain,"" Tsutsumi told a weekly magazine in 1987. ""He scolded me for pouring too much soy sauce or told me fruit was not for children. He didn't let me use the silk futon, saying it's a luxury."""
37,"Net profit came in at 1.4bn euros (£960m; $1.85bn), a dramatic change from the loss of 364m euros in 2003. This was more than expected and helped to bring debt down to 35.8bn euros. T-Mobile USA, the company's American mobile business, made a strong contribution to profits. ""It's a seminal achievement that they cut debt so low. That gives them some head room to invest in growth now,"" said Hannes Wittig, telecoms analyst at Dresdner Kleinwort Wasserstein."
38,"Chinese wine tempts Italy's Illva
Italy's Illva Saronno has agreed to buy 33% of Changyu, the largest wine maker in China. The Italian liqueur maker will acquire the shares from the Yantai State Asset Management Bureau. Chinese wine sales are growing, the US Agriculture Department said, with wine sales in 2003 up 25% at 61.1bn yuan. This compares with 59 litres in France, 12 litres in the US and three litres in Japan. The state agency will also sell 10% of its stake in Changyu to another overseas company, although it didn't say who."
39,"Umbro, which recently lost sponsorship deals with Chelsea and Celtic, said on Thursday it had signed a new four-year agreement with Scottish club Rangers. Pre-tax profit for 2004 was £15.4m ($29.4m). Umbro profits lifted by Euro 2004
UK sportswear firm Umbro has posted a 222% rise in annual profit after sales of replica England football kits were boosted by the Euro 2004 tournament. Chief executive Peter McGuigan said the firm plans to grow sales both in the UK and internationally. Shares in Umbro were up 1.76% at 115.5 pence in morning trade."
40,"The government program faces severe financial strains in coming decades as the massive baby-boom generation retires. ""I fear that we may have already committed more physical resources to the baby-boom generation in its retirement years than our economy has the capacity to deliver. If existing promises need to be changed, those changes should be made sooner rather than later,"" Mr Greenspan said. Pension and healthcare costs posed the greatest risks to the economy, he said. He also urged Congress to reinstate lapsed rules that require tax cuts and spending to be offset elsewhere in the budget in an effort to prevent the US heading further into the red. Speaking to the House Budget Committee he urged Congress to take action to cut the deficit, such as increasing taxes. Despite the dire warnings, Mr Greenspan did offer some good news for the short term."
41,"The UK's biggest coal producer blamed geological problems, industrial action and ""operating flaws"" at its deep mines for its worsening fortunes. It expected 2005 to be a ""transitional year"" and to return to profitability in 2006. In early trade on Thursday, its shares were down 10% at 119 pence. ""We have a long journey ahead to fix these issues. We continue to make progress and great strides have already been made,"" said Mr Spindler. UK Coal operates 15 deep and surface mines across Nottinghamshire, Derbyshire, Leicestershire, Yorkshire, the West Midlands, Northumberland and Durham."
42,"The move comes as the conservative country inches open the door to working women. ""Our educational reforms have created a new generation of highly-educated and professionally trained Saudi women who are acquiring their rightful position in Saudi society,"" Arab News quoted Prince Saud as saying. Earlier this week, the local Arab News said Labour Minister Ghazi al-Gosaibi had ""caused uproar"" when he said his ministry was having difficulty hiring women because they demanded segregated offices. ""I am proud to mention here that this year we shall have women working in the Ministry of Foreign Affairs for the first time."""
43,"The Tokyo stock market fell after the figures were announced, but rose again on a widespread perception that the economy will recover later this year. Figures released by the government's Cabinet Office showed that GDP, on an annualised basis, fell 0.5% in the last three months of 2004. A previous estimate of 0.1% growth between July and September was downgraded to a 0.3% decline. However, the economy's fragile recovery remains dependent on an upturn in consumer spending, a fall in the value of the yen and an improvement in global economies. Gross domestic product measures the overall value of goods and services produced in a country. Japan's economy has seen stretches of moderate growth over the past decade but has periodically slipped back into recession. ""The economy must be assessed comprehensively and we cannot look at GDP alone,"" Mr Takenaka stressed. Analysts said the figures were disappointing but argued that Japan's largest companies had been recording healthy profits and capital spending was on the rise. ""The results came in at the lower end of expectations but we shouldn't be too pessimistic about the current state and the outlook for the economy,"" said Naoki Iizuka, senior economist at the Dai-ichi Life Research Institute."
44,"The gains tracked a surge in US gasoline futures to a record high of $1.4850 a gallon. A spokesman for the group was unable to say when the production unit would be back up and running. ""This market simply wants to go up,"" Citigroup Global Markets analyst Kyle Cooper told Reuters news agency. The jump followed a fire at Western Refining Company's refinery in Texas, which shut down petrol production. Ed Silliere, analyst at Energy Merchant, added: ""Gasoline is up because of the refinery issues in Texas, which means there will be a scramble for product in the (US) Gulf Coast."" Oil prices are roughly 45% higher than a year ago and have risen sharply in recent weeks due to a combination of colder weather, the declining value of the dollar and fears that Opec could rein in production to head off a seasonal drop in demand."
45,"The economy has grown for six quarters but growth slowed dramatically in the last quarter amid weaker global demand. According to figures from the Ministry of Economy, Trade and Industry (METI), the decline was led by a fall in demand for electronic parts for mobile phones and digital televisions. Production dropped 1.6% in October, reflecting a decline in exports, while unemployment levels edged up 0.1% to 4.7%, slightly higher than forecast. Japan downgraded its overall economic assessment earlier this month for the first time in a year. ""It's a sign that the economy's adjustment phase is stronger than expected,"" said Takashi Yamanaka, an economist with UFJ Bank. Japanese government officials played down the latest data, arguing that domestic consumer demand was still resilient. Despite the rise in unemployment, jobless figures are still some way below historical highs of recent years."
46,"The carrier reported a drop in quarterly profit earlier this year after it was hit by higher fuel costs. However, when it reported the results, the airline was upbeat about prospects for 2005, despite tough competition in the budget airline market. Ryanair in $4bn Boeing plane deal
Budget airline Ryanair has placed an order for 70 Boeing 737-800 planes, in a deal valued at $4bn (£2.1bn) which should lead to 2,500 new Ryanair jobs. ""With this new order and new pricing in place, Ryanair expects that unit operating costs (excluding fuel) will continue to fall each year for the next five years,"" he added. About 2,500 new jobs should be created in the next seven years, it added."
47,"The firm gained protection from creditors in 2003 after revealing debts of 14bn euros ($18.34bn; £9.6bn). This was eight times higher than it had previously stated. Parmalat to return to stockmarket
Parmalat, the Italian dairy company which went bust after an accounting scandal, hopes to be back on the Italian stock exchange in July. The company's creditors will be asked to vote on the plan later this year. Creditors of Parmalat, the main operating company, are likely to see the percentage of debt they receive fall from 7.3% to 6.9%. Lawmakers said on Wednesday night Enrico Bondi, the turnaround specialist appointed by the Italian government as Parmalat's chief executive, spoke positively about the company during a closed-door hearing of the Chamber of Deputies industry commission."
